评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7457192684496847642,能不能出个训练的介绍,,0,2025-01-07 23:16:20,yriami,https://www.douyin.com/user/MS4wLjABAAAAiZ60l9h-1JdLHtosORI9Gl3yepiIp517A-Go3ANsSlA,,,1,海南
7457923355725071104,这不就是Emo？,,0,2025-01-09 23:34:58,空白格的电量,https://www.douyin.com/user/MS4wLjABAAAA4ZmKj1N35GbN_9nHsVtF4db8WBok2GuyyKUgmArd-AA,,,0,重庆
7457523461553210163,不是，真没明白，上次看到腾讯的ai，也是说要到github上去下载，这些公司到底是个什么情况，国内没有网站能发布吗？还是说一定要去跟国外去拼开源，然后国内就不配享有开源？虽然说不怎么用，但是想想就觉得很不爽。,,0,2025-01-08 20:39:50,Sghlyd,https://www.douyin.com/user/MS4wLjABAAAAPGt3ipGLAs_vLavw-FWjtW7LUCSLVqDNBZjbej8Y0XA,sghlyd,技术咨询服务,3,江苏
7456987604463944467,非常棒谈不上，唇形运动幅度太小，很假。没有比以前的唇形同步技术有改进啊,,0,2025-01-07 10:00:31,晨剑薰,https://www.douyin.com/user/MS4wLjABAAAASCNfihJa0YHQSu4D8TADVym0WOa4-zgZ0yrgxgzgCMg,,,1,上海
7457236447780995855,跟heygen还是没法比，都一年了，来源一个能用的都没有,,2,2025-01-08 02:06:47,yellow,https://www.douyin.com/user/MS4wLjABAAAAqKiCv-T8cZotTTf8Kewg8Q8xmCGfLNLOLtf0wvzyoqQ,,,0,广东
7457376716701844278,训练的来个教程,,0,2025-01-08 11:10:29,风日风月,https://www.douyin.com/user/MS4wLjABAAAAUKrWCTjCsF63EeJIw62PM_Prnh970Z0SCwmh6ujd200,,,0,北京
7457180082592138041,也不行啊,,0,2025-01-07 22:27:21,徐徐老师教AI,https://www.douyin.com/user/MS4wLjABAAAA453SsvZN-xNjAaxZVJklJ3XkmxxPR_16Zo_wJ_PUeIg,,"全国首批青少年AI培训开拓者
2024年全国NOC大赛、青科赛已获一等奖
目前贵州地区五家实体店
本人只有一个号，其余均为冒充、盗图，切勿相信",0,贵州
7457461195983225610,可以找个懂唇语的人验证一下,,0,2025-01-08 16:38:19,金木水火土,https://www.douyin.com/user/MS4wLjABAAAAiKiIq46Ma_4Uja4Ug9MVZSVwVUKC7lCd88k0d1sD1ag,13701038589jmsht,,0,北京
7458243117419053858,需要多大现存,,0,2025-01-10 19:29:27,老罗精选,https://www.douyin.com/user/MS4wLjABAAAAGlnxE7L7qkTWIKikHFLognwaGKWGP8TiLPHtjF54Wih1hW5pXFFKIqviLNIw_8J5,CCHN88888,大家好，每天跟大家分享，罗老师直播间返场好物，欢迎大家关注,0,山东
7457188598712419132,报错怎么解决啊？：stabilityai/sd-vae-ft-mse does not appear to have a file named config.json.,,0,2025-01-07 23:00:26,夕木,https://www.douyin.com/user/MS4wLjABAAAAmT1vJgxEzm_Rsu7GgTbGwApJNvZCRjL3dgQvxxYWV4g,,每天坐在空荡荡的主页里，看着几千号人静悄悄地路过。这就是冷暴力吧？不喜欢可以说，为什么要划走呢？,0,江苏
7456980411395703602,[666][666][666],,0,2025-01-07 09:32:37,光影智造,https://www.douyin.com/user/MS4wLjABAAAAObJkUZ84zGZv5k5nzcXZAZI6Y7JNITVOxe7o7ZPtW_ivGzUacB78ZwPc8wQ3RUZH,40469408586,缺点太多，篇幅不够！,0,吉林
